Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Australia,AUS,..,..,..,19.3,..,18.2,..,17.1,..,16.2,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Australia,AUS,..,100,100,100,100,100,100,100,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Australia,AUS,99.9171524047852,100,100,100,100,100,100,100,100,100,100,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Australia,AUS,..,..,99.0648422241211,..,..,98.8595657348633,..,..,99.5193710327148,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Australia,AUS,..,..,98.59228515625,..,..,99.0362319946289,..,..,99.1950912475586,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Australia,AUS,..,..,99.5946960449219,..,..,98.6705780029297,..,..,99.8545379638672,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,Australia,AUS,..,..,99.1139221191406,..,..,99.6139907836914,..,..,99.6360931396484,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,Australia,AUS,..,..,97.9535446166992,..,..,100,..,..,99.287841796875,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Australia,AUS,..,..,100,..,..,100,..,..,100,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,Australia,AUS,..,..,99.8031234741211,..,..,98.1294784545898,..,..,99.6734771728516,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Australia,AUS,..,..,99.1560897827148,..,..,99.1179046630859,..,..,99.6711730957031,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,Australia,AUS,..,..,98.7611389160156,..,..,94.7786712646484,..,..,100,..,..,..
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Australia,AUS,97.97447,94.48531,97.67766,97.98651,97.48417,97.13516,97.10963,96.7724,96.4991,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Australia,AUS,98.27587,96.01008,98.10016,98.35632,..,..,..,..,96.87867,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Australia,AUS,97.68868,93.07313,97.27709,97.63589,..,..,..,..,96.13913,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Australia,AUS,242151335112.396,326717231873.405,1078643958582.76,1215668643545.95,1247069572099.66,1144175543456.83,1056290293181.08,946766793192.106,1034183380361.74,1106747125595.05,1069193708469.21,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,14189.8573763058,17058.2797406884,48283.0259530052,53474.8505582387,53920.0370293533,48738.7479734066,44352.1378460602,39137.3003580273,42036.7964195284,44300.5622771677,42151.0863753148,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Australia,AUS,9.24252822518367,6.2696836551368,8.72813184638593,10.3576380951248,9.69601707058936,8.21428210788133,7.2636539126843,5.29879173458726,6.59130259798372,5.97054689124514,6.36792806181669,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Australia,AUS,27727584675.551,25266825130.2013,116956966741.571,155364571426.872,149318662887.076,117464234142.703,95880231647.4327,62525742468.1297,85027803513.99,82990601788.3075,85967028834.5253,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Australia,AUS,9.19020224779739,6.23959298215087,8.70683369141929,10.3374170084443,9.67600679465831,8.19394527718498,7.24314399410598,5.27937464281717,6.57242131989068,5.95166561315211,6.34811128805894,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Australia,AUS,27570606743.3922,25145559718.068,116671571465.018,155061255126.665,149010504637.738,117173417463.745,95609500722.1989,62296620785.2426,84784235026.5898,82728152022.8143,85699502388.7957,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Australia,AUS,1.06538927228159,1.51774395538554,0.87141730158135,0.80360480793871,0.781214544578848,0.850264707892293,0.962232423930964,1.14419918984956,1.08064809580223,1.04772544186973,1.11294140526482,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Australia,AUS,3196167816.84477,6116508140.20374,11676991841.1901,12054072119.0807,12030703986.5143,12158785322.8598,12701467995.8887,13501550440.2248,13940360435.8488,14563383641.9892,15024708971.0751,..
