State,Hospital name,Establishment ID,Medicare Provider No.,Local Hospital Network identifier,Local Hospital Network,Address Line 1,Address Line 2,asgc_ra,Remoteness area,Number of available beds,2012-13 Peer Group code,Peer Group Name,Provided data for NPHED,Provided data for NHMD,Provided data for NAPEDCD,Provided data for ESWT,Provided data for NNAPCD,IHPA funding designation
VIC,Albury Wodonga Health [Albury Campus],210N01650,0010560W,249,Albury Wodonga Health,201    Borella                                       Rd,Albury                                                 2640,1,Inner Regional,158.2,L,Public acute group A,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Albury Wodonga Health [Wodonga Campus],210401660,0031390A,249,Albury Wodonga Health,69     Vermont                                       St,Wodonga                                                3690,1,Inner Regional,132.3,M,Public acute group B,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Alexandra District Hospital,210403010,0030010T,233,Alexandra District Hospital,12     Cooper                                        St,Alexandra                                              3714,1,Inner Regional,31.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Alpine Health [Bright],210401882,0031740W,245,Alpine Health (Vic),36     Cobden                                        St,Bright                                                 3741,2,Outer Regional,9.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Alpine Health [Mount Beauty],210401883,0031190J,245,Alpine Health (Vic),2      Hollonds                                      St,Mt Beauty                                              3699,2,Outer Regional,10.0,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Alpine Health [Myrtleford],210401881,0030790T,245,Alpine Health (Vic),30     O'Donnell                                     Ave,Myrtleford                                             3736,1,Inner Regional,15.0,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Angliss Hospital,210801590,0031330L,234,Eastern Health (Vic),1      Albert                                        St,Upper Ferntree Gully                                   3156,0,Major Cities,186.0,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Austin Hospital [Heidelberg],210A01031,0030060F,266,Austin Health (Vic),145    Studley                                       Rd,Heidelberg                                             3084,0,Major Cities,653.4,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Bairnsdale Regional Health Service,210501040,0030080A,256,Bairnsdale Regional Health Service,122    Day                                           St,Bairnsdale                                             3875,2,Outer Regional,101.3,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Ballarat Health Services [Base Campus],210202010,0030090Y,203,Ballarat Health Services,1      Dummond                                       St,Ballarat Central                                       3350,1,Inner Regional,258.3,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Ballarat Health Services [Queen Elizabet,210202070,0034220W,203,Ballarat Health Services,102    Ascot                                         St,Ballarat                                               3350,1,Inner Regional,93.3,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,Bass Coast Regional Health,210501670,0031400T,253,Bass Coast Regional Health,235    Graham                                        St,Wonthaggi                                              3995,1,Inner Regional,54.6,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Beaufort & Skipton Health Service [Beauf,210203120,0030990H,201,Beaufort and Skipton Health Service,28     Havelock                                      St,Beaufort                                               3373,1,Inner Regional,10.0,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
VIC,Beaufort & Skipton Health Service [Skipt,210102230,0030990H,201,Beaufort and Skipton Health Service,2      Blake                                         St,Skipton                                                3361,1,Inner Regional,6.0,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
VIC,Beechworth Health Service,210404460,0031690K,251,Beechworth Health Service,52     Sydney                                        Rd,Beechworth                                             3747,1,Inner Regional,13.0,S2,Public acute group D,Yes,Yes,No,No,No,Block-funded hospital
VIC,Benalla & District Memorial Hospital,210404050,0030110K,247,Benalla and District Memorial Hospital,45     Coster                                        St,Benalla                                                3672,1,Inner Regional,55.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,Bendigo Health Care Group [Anne Caudle],210301022,0030120J,210,Bendigo Health Care Group,100    Barnard                                       St,Bendigo                                                3550,1,Inner Regional,97.2,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,Boort District Health,210303060,0030140F,218,Boort District Health,31     Kiniry                                        St,Boort                                                  3537,2,Outer Regional,7.0,S2,Public acute group D,Yes,Yes,No,No,No,Block-funded hospital
VIC,Box Hill Hospital,210801050,0030150B,234,Eastern Health (Vic),51     Nelson                                        Rd,Box Hill                                               3128,0,Major Cities,510.8,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Broadmeadows Health Service,210A02970,0031920L,226,Northern Health (Vic),35     Johnstone                                     St,Broadmeadows                                           3074,0,Major Cities,145.9,S1,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
