Year,Region,Characteristic,Age,Sex,Result
1998,NSW,Daily,18+,Persons,21.8
1998,VIC,Daily,18+,Persons,22.9
1998,Qld,Daily,18+,Persons,24.3
1998,WA,Daily,18+,Persons,23.6
1998,SA,Daily,18+,Persons,19.4
1998,Tas,Daily,18+,Persons,25.3
1998,ACT,Daily,18+,Persons,22.9
1998,NT,Daily,18+,Persons,32.5
1998,Australia,Daily,18+,Persons,22.7
2001,NSW,Daily,18+,Persons,18.6
2001,VIC,Daily,18+,Persons,19.9
2001,Qld,Daily,18+,Persons,21.6
2001,WA,Daily,18+,Persons,20.8
2001,SA,Daily,18+,Persons,20.5
2001,Tas,Daily,18+,Persons,21.4
2001,ACT,Daily,18+,Persons,18.5
2001,NT,Daily,18+,Persons,28.7
2001,Australia,Daily,18+,Persons,20.0
2004,NSW,Daily,18+,Persons,17.2
2004,VIC,Daily,18+,Persons,18.2
2004,Qld,Daily,18+,Persons,20.7
2004,WA,Daily,18+,Persons,16.4
2004,SA,Daily,18+,Persons,17.2
2004,Tas,Daily,18+,Persons,22.3
2004,ACT,Daily,18+,Persons,16.1
2004,NT,Daily,18+,Persons,28.5
2004,Australia,Daily,18+,Persons,18.2
2007,NSW,Daily,18+,Persons,17.2
2007,VIC,Daily,18+,Persons,17.4
2007,Qld,Daily,18+,Persons,17.9
2007,WA,Daily,18+,Persons,15.6
2007,SA,Daily,18+,Persons,17.6
2007,Tas,Daily,18+,Persons,24.0
2007,ACT,Daily,18+,Persons,15.2
2007,NT,Daily,18+,Persons,27.1
2007,Australia,Daily,18+,Persons,17.5
2010,NSW,Daily,18+,Persons,15.0
2010,VIC,Daily,18+,Persons,15.5
2010,Qld,Daily,18+,Persons,17.7
2010,WA,Daily,18+,Persons,16.5
2010,SA,Daily,18+,Persons,15.7
2010,Tas,Daily,18+,Persons,16.9
2010,ACT,Daily,18+,Persons,11.7
2010,NT,Daily,18+,Persons,23.9
2010,Australia,Daily,18+,Persons,15.9
2013,NSW,Daily,18+,Persons,12.2
2013,VIC,Daily,18+,Persons,12.6
2013,Qld,Daily,18+,Persons,15.7
2013,WA,Daily,18+,Persons,12.5
2013,SA,Daily,18+,Persons,13.6
2013,Tas,Daily,18+,Persons,16.7
2013,ACT,Daily,18+,Persons,9.9
2013,NT,Daily,18+,Persons,22.2
